INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
1058234	CCMSLIB00003137337	Spectral Match to Maltotetraose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1059601	CCMSLIB00005720069	Endocrocin	UZOHDKGTYVTYDZ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1060115	CCMSLIB00003137134	Spectral Match to Azelaoyl PAF from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1062219	CCMSLIB00003135536	Spectral Match to Glycan 3'-Sialyl-N-acetyllactosamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1066021	CCMSLIB00004721674	ACARBOSE	CEMXHAPUFJOOSV	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_produced|culture_bacterial	679202|Escherichia coli		
1066189	CCMSLIB00004721674	ACARBOSE	CEMXHAPUFJOOSV	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_produced|culture_bacterial	679202|Escherichia coli		
1066200	CCMSLIB00004721674	ACARBOSE	CEMXHAPUFJOOSV	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_produced|culture_bacterial	679202|Escherichia coli		
1066300	CCMSLIB00004721675	ACARBOSE	CEMXHAPUFJOOSV	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_produced|culture_bacterial	679202|Escherichia coli		
10683	CCMSLIB00005435541	hyocholic acid	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
1074073	CCMSLIB00003138288	Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1076794	CCMSLIB00004721671	ACARBOSE	CEMXHAPUFJOOSV	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_produced|culture_bacterial	679202|Escherichia coli		
1077209	CCMSLIB00004702582	Garcinolic Acid	VDSCKSOYNLTQSY	Tags Missing	Add Tags																				
1079842	CCMSLIB00003139468	Spectral Match to Glycan 3.alpha.,4.beta.,3.alpha.-Galactotetraose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1086399	CCMSLIB00005435822	Contaminant vial septum ThermoFisher C5000-44B	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1087601	CCMSLIB00003131017	PC(14:0/16:1); [M+H]+ C38H75N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1088372	CCMSLIB00004707121	[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6bR,8R,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate	DRZYJIXQEOTQDA	Tags Missing	Add Tags																				
1088534	CCMSLIB00003139137	Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1089226	CCMSLIB00003137777	Spectral Match to Glycan 4.beta.-Galactobiose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1094186	CCMSLIB00005727752	Massbank:AC000474 Fumonisin B1|Macrofusine	UVBUBMSSQKOIBE	Tags Present	Check Current Tags and Add if Incomplete																	fungal|food|human|naturalproduct|fungal_produced	9606|Homo sapiens	blood|urine	|food consumption
1096492	CCMSLIB00003089309	PC(16:0/16:1); [M+H]+ C40H79N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1096560	CCMSLIB00003136587	Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1097016	CCMSLIB00003134788	Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
109758	CCMSLIB00003139111	Spectral Match to N-Acetyl-L-tyrosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1100025	CCMSLIB00005465724	"(R)-4-((8S,9S,10R,13R,14S,17R)-10,13-dimethyl-3-oxo-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	WCFIGQHNBJXROP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_modified|human|naturalproduct		feces	
1100244	CCMSLIB00003137838	Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1100588	CCMSLIB00005434451	Azithromycin - Dark Web Drugs	MQTOSJVFKKJCRP	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic		blood|urine|feces|saliva	drug or medication use|bacterial infectious disease
1100607	CCMSLIB00000005525	Ursodiol	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1102249	CCMSLIB00003138795	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1102265	CCMSLIB00003111979	SM(d18:1/20:0); [M+H]+ C43H88N2O6P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1102281	CCMSLIB00003136067	Spectral Match to 1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1102297	CCMSLIB00003136067	Spectral Match to 1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1103175	CCMSLIB00003136880	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1105107	CCMSLIB00003134571	Spectral Match to 1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1105347	CCMSLIB00003109262	PC(17:0/18:1); [M+H]+ C43H85N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1105397	CCMSLIB00005724073	3-(heptadecanoyloxy)-2-(oleoyloxy)propyl (2-(trimethylammonio)ethyl) phosphate	SXNXGNVZTLZDHE	Tags Missing	Add Tags																				
1105752	CCMSLIB00005435824	Contaminant vial septum ThermoFisher C5000-44B	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1106733	CCMSLIB00004706471	3-[(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	UYVBMGULWGRDQT	Tags Present	Check Current Tags and Add if Incomplete																	food|naturalproduct			food consumption
1107520	CCMSLIB00005464733	"(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	JWZBXKZZDYMDCJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1107530	CCMSLIB00005464733	"(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	JWZBXKZZDYMDCJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1107691	CCMSLIB00003138952	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1107805	CCMSLIB00003138952	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1107810	CCMSLIB00003138952	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1107837	CCMSLIB00003138952	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1108585	CCMSLIB00005435475	hyodeoxycholic acid	DGABKXLVXPYZII	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified		blood|feces|urine	
1108685	CCMSLIB00003140236	Spectral Match to Arachidonoylthio-PC from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109250	CCMSLIB00003140236	Spectral Match to Arachidonoylthio-PC from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109388	CCMSLIB00003089372	PC(18:0/18:2); [M+H]+ C44H85N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109582	CCMSLIB00005435504	chenodeoxycholic acid	RUDATBOHQWOJDD	Tags Present	Check Current Tags and Add if Incomplete																	animal|bacterial_modified|drug		bile|blood|cerebrospinal fluid|feces|saliva|urine	drug or medication use
1109687	CCMSLIB00003138115	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109735	CCMSLIB00003138115	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109747	CCMSLIB00003138115	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109770	CCMSLIB00003138115	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1109797	CCMSLIB00003138115	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1110419	CCMSLIB00003089389	PC(18:0/18:1); [M+H]+ C44H87N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1110514	CCMSLIB00003134596	Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1112130	CCMSLIB00003097664	PC(18:2/19:0); [M+H]+ C45H87N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1112303	CCMSLIB00003114611	SM(d18:1/23:0); [M+H]+ C46H94N2O6P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1112378	CCMSLIB00000850809	NCGC00380798-01_C45H57N3O9_(3S,6R,9S,12R,15S,18R)-3,9,15-Tribenzyl-6,12,18-triisopropyl-4,10,16-trimethyl-1,7,13-trioxa-4,10,16-triazacyclooctadecane-2,5,8,11,14,17-hexone	GYSCAQFHASJXRS	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct|fungal|fungal_produced			|food consumption
1112664	CCMSLIB00005465352	"(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	KNVADAPHVNKTEP	Tags Missing	Add Tags																				
1113416	CCMSLIB00005435446	chenodeoxycholic acid	RUDATBOHQWOJDD	Tags Present	Check Current Tags and Add if Incomplete																	animal|bacterial_modified|drug		bile|blood|cerebrospinal fluid|feces|saliva|urine	drug or medication use
1113561	CCMSLIB00003139425	Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114085	CCMSLIB00005465686	"(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	RUDATBOHQWOJDD	Tags Present	Check Current Tags and Add if Incomplete																	animal|bacterial_modified|drug		bile|blood|cerebrospinal fluid|feces|saliva|urine	drug or medication use
1114524	CCMSLIB00003135328	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114525	CCMSLIB00003137148	Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114552	CCMSLIB00003135328	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114555	CCMSLIB00003137148	Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114556	CCMSLIB00003135328	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114562	CCMSLIB00003135328	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1114883	CCMSLIB00003119186	PC(18:0/20:3); [M+H]+ C46H87N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1115044	CCMSLIB00003089384	PC(18:1/20:1); [M+H]+ C46H89N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1115079	CCMSLIB00003135664	Spectral Match to N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1115478	CCMSLIB00005435545	hyocholic acid	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
1115550	CCMSLIB00005465747	"(R)-4-((3S,5R,6S,7S,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
1119200	CCMSLIB00003138744	Spectral Match to 1-Octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1119227	CCMSLIB00003138744	Spectral Match to 1-Octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1119318	CCMSLIB00005435981	Cholic acid	BHQCQFFYRZLCQQ	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_salinedrug|food|naturalproduct		bile|blood|feces|saliva|urine|liver	|food consumption|drug or medication use
1119483	CCMSLIB00005465140	"(4R)-4-((3S,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	MIHNUBCEFJLAGN	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1119753	CCMSLIB00005435449	cholic acid	BHQCQFFYRZLCQQ	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_salinedrug|food|naturalproduct		bile|blood|feces|saliva|urine|liver	|food consumption|drug or medication use
1120112	CCMSLIB00003135794	Spectral Match to Cholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1121422	CCMSLIB00005465098	"(4R)-4-((3R,5S,6R,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
1121432	CCMSLIB00005465098	"(4R)-4-((3R,5S,6R,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
1123883	CCMSLIB00005465004	"(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
112476	CCMSLIB00003136087	Spectral Match to 1,3-Dicyclohexylurea from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
